strip_w,strip_h,allow_rot,seed,n_items,placed,us
300,200,0,0,40,40,32.110000120155746
300,200,0,1,40,40,34.26099965508911
300,200,0,2,40,30,28.161000045656692
300,200,0,3,40,40,32.46100004616892
300,200,0,4,40,29,28.270000257180072
300,200,0,5,40,40,32.51099997214624
300,200,0,6,40,40,32.77099995102617
300,200,0,7,40,29,29.380999876593705
300,200,0,8,40,40,31.680999654781772
300,200,0,9,40,40,32.29100002499763
300,200,0,10,40,29,28.49100019375328
300,200,0,11,40,29,27.7610001830908
300,200,0,12,40,40,31.4809999508725
300,200,0,13,40,40,31.660999866289785
300,200,0,14,40,40,32.01999970769975
300,200,0,15,40,29,27.831000352307456
300,200,0,16,40,40,32.24099964427296
300,200,0,17,40,40,32.160000046133064
300,200,0,18,40,40,32.18099982404965
300,200,0,19,40,40,45.81100029099616
300,200,0,20,40,40,35.82099998311605
300,200,0,21,40,40,32.97100010968279
300,200,0,22,40,40,32.65100031057955
300,200,0,23,40,40,31.940000098984456
300,200,0,24,40,40,32.85100001448882
300,200,0,25,40,40,32.71100013080286
300,200,0,26,40,40,32.391000331699615
300,200,0,27,40,40,31.771000067237765
300,200,0,28,40,40,32.40099977119826
300,200,0,29,40,29,28.681000003416557
300,200,0,30,40,40,46.51200015359791
300,200,0,31,40,40,45.29099987848895
300,200,0,32,40,40,44.17100035425392
300,200,0,33,40,40,42.57099999449565
300,200,0,34,40,40,86.35199992568232
300,200,0,35,40,40,43.121000089740846
300,200,0,36,40,40,42.39100007907837
300,200,0,37,40,40,43.14099987823283
300,200,0,38,40,40,42.62099992047297
300,200,0,39,40,40,42.100999962713104
300,200,1,0,40,40,47.50100015371572
300,200,1,1,40,40,46.76100024880725
300,200,1,2,40,40,49.81099982614978
300,200,1,3,40,40,47.27099985757377
300,200,1,4,40,40,49.43099975207588
300,200,1,5,40,40,47.41099974125973
300,200,1,6,40,40,46.91099957199185
300,200,1,7,40,40,60.1810002081038
300,200,1,8,40,40,49.10200004815124
300,200,1,9,40,40,47.43099998449907
300,200,1,10,40,40,49.44100010106922
300,200,1,11,40,40,50.270999963686336
300,200,1,12,40,40,47.201000143104466
300,200,1,13,40,40,46.521000058419304
300,200,1,14,40,40,48.01099976248224
300,200,1,15,40,40,49.23100004816661
300,200,1,16,40,40,47.591000111424364
300,200,1,17,40,40,46.46099978344864
300,200,1,18,40,40,46.66099994210526
300,200,1,19,40,40,50.93099980513216
300,200,1,20,40,40,46.46100023819599
300,200,1,21,40,40,46.08100016412209
300,200,1,22,40,40,46.551000195904635
300,200,1,23,40,40,46.31100000551669
300,200,1,24,40,40,46.1409999843454
300,200,1,25,40,40,46.19100036507007
300,200,1,26,40,40,64.65199976446456
300,200,1,27,40,40,49.391000175091904
300,200,1,28,40,40,48.53099972024211
300,200,1,29,40,40,49.02099999526399
300,200,1,30,40,40,67.19200018778793
300,200,1,31,40,40,51.991999953315826
300,200,1,32,40,40,48.60200033363071
300,200,1,33,40,40,47.450999772991054
300,200,1,34,40,40,48.39099983655615
300,200,1,35,40,40,48.03100000572158
300,200,1,36,40,40,46.59100022763596
300,200,1,37,40,40,52.131999837001786
300,200,1,38,40,40,49.46100034430856
300,200,1,39,40,40,47.140999868133804
